id,name,explanation,broader_concept,strand,source
f7c16412-e6f6-4a34-aed3-d0c52af346b5,Half-angle formula for cosine squared,An identity expressing the square of cosine of an angle as half the sum of one and cosine of twice the angle.,Power-reduction and half-angle formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
0fc15ec4-ebaa-4d5a-985e-3a82b4e11677,Half-angle formula for sine squared,An identity expressing the square of sine of an angle as half the difference of one and cosine of twice the angle.,Power-reduction and half-angle formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
2fb185c3-1604-46a9-b47c-e75d56f4a66c,Product-to-sum formula for 2 cos A cos B,An identity expressing twice the product of cosines of two angles as the sum of cosines of their sum and difference.,Product-to-sum and sum-to-product formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
12847625-b947-4c3e-bb0d-f1f973231011,Product-to-sum formula for 2 sin A cos B,An identity expressing twice the product of sine of one angle and cosine of another as the sum of sines of their sum and difference.,Product-to-sum and sum-to-product formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
525ad725-b245-498e-88c7-7fbc9f9676c8,Product-to-sum formula for 2 sin A sin B,An identity expressing twice the product of sines of two angles as the difference of cosines of their difference and sum.,Product-to-sum and sum-to-product formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
b6fa28fa-0d61-4aab-b49c-788519b6489a,Product-to-sum formula for 2 cos A sin B,An identity expressing twice the product of cosine of one angle and sine of another as the difference of sines of their sum and difference.,Product-to-sum and sum-to-product formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
f90d8966-f534-49bc-bdf4-73968f6f00b3,Sum-to-product formula for cos A + cos B,An identity expressing the sum of cosines of two angles as twice the product of cosines of half their sum and half their difference.,Sum-to-product and product-to-sum formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
27741146-2f4c-4cd4-9161-b3bcac356332,Sum-to-product formula for cos A – cos B,An identity expressing the difference of cosines of two angles as negative twice the product of sines of half their sum and half their difference.,Sum-to-product and product-to-sum formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
e95b98db-d483-4b19-896f-b2881a33121b,Sum-to-product formula for sin A + sin B,An identity expressing the sum of sines of two angles as twice the product of sine of half their sum and cosine of half their difference.,Sum-to-product and product-to-sum formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
76fbcd64-a41d-40f6-9f53-e1bee50c7669,Sum-to-product formula for sin A – sin B,An identity expressing the difference of sines of two angles as twice the product of cosine of half their sum and sine of half their difference.,Sum-to-product and product-to-sum formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
d5a1d13f-2ea5-46d4-9fc8-2590a3fa54f8,Geometric constructions with straight edge and compass,"The process of creating geometric figures using only a straight edge and a compass, following specific rules and procedures.",Geometric constructions,Geometry,4_Curriculum csvs - Geometry&Trig.csv
9d113e59-46dc-4bf8-8dc4-387fc77890a8,Dynamic geometry software applications,Using software tools that allow for the manipulation and exploration of geometric constructions and concepts in a dynamic way.,Geometric constructions,Geometry,4_Curriculum csvs - Geometry&Trig.csv
fee57bb2-488c-4b27-ab55-f7094479c34c,Drawing a circle of given radius,The ability to construct a circle with a specified radius using a compass.,Geometric constructions,Geometry,4_Curriculum csvs - Geometry&Trig.csv
c7570cb5-5c27-46e1-80d6-9908c6cfbd81,Use of straight edge in geometric diagrams,Applying a straight edge to accurately draw straight lines in geometric figures.,Geometric tools,Geometry,4_Curriculum csvs - Geometry&Trig.csv
3822d21f-3822-4169-b663-4fa7e1bffaa2,Use of protractor in geometric diagrams,Utilizing a protractor to measure and draw angles in geometric constructions.,Geometric tools,Geometry,4_Curriculum csvs - Geometry&Trig.csv
34df0c88-ab90-48e6-a3e3-0698e4f82367,Understanding linear relationships,"Recognizing how two variables relate linearly and can be represented in various forms, including tables and graphs.",Linear relationships,Coordinate Geometry,4_Curriculum csvs - Geometry&Trig.csv
8c6b2865-eedd-49be-90db-59adbfb29077,Slope of a linear graph,"The measure of the steepness or incline of a line on a graph, representing the rate of change of the relationship between two variables.",Linear relationships,Coordinate Geometry,4_Curriculum csvs - Geometry&Trig.csv
c9e59271-b8ab-4f20-8d13-bb2ccf5596dc,Point of intersection of two linear relationships,"The point where two lines on a graph meet, indicating the solution to a system of linear equations.",Linear relationships,Coordinate Geometry,4_Curriculum csvs - Geometry&Trig.csv
9d7f6009-b26f-44b2-84c9-ae4e13edff6f,Application of the Pythagorean theorem,Using the theorem to find the lengths of sides in right-angled triangles based on the relationship between the sides.,Right-angled triangles,Trigonometry,4_Curriculum csvs - Geometry&Trig.csv
5de0432d-1d24-48ad-8aab-4d89db5802e2,Trigonometric ratios in right-angled triangles,"The ratios of the lengths of the sides of a right-angled triangle, specifically sine, cosine, and tangent.",Trigonometric functions,Trigonometry,4_Curriculum csvs - Geometry&Trig.csv
e799d4f9-8c06-46f0-838a-4a974e2731fe,Translations in transformation geometry,"The process of moving a shape from one location to another without changing its size, shape, or orientation.",Transformations,Geometry,4_Curriculum csvs - Geometry&Trig.csv
d82130c8-7933-45a3-a879-838f9b6d8d32,Central symmetry in transformations,A type of symmetry where a shape is invariant under rotation about a central point.,Transformations,Geometry,4_Curriculum csvs - Geometry&Trig.csv
d0291077-335c-4b26-b80c-5b92331e56de,Axial symmetry in transformations,A type of symmetry where a shape is invariant when reflected across a line (axis).,Transformations,Geometry,4_Curriculum csvs - Geometry&Trig.csv
8393ad17-30c5-4ba0-b1e9-d28c99dc8541,Rotations in transformation geometry,The process of turning a shape around a fixed point at a certain angle.,Transformations,Geometry,4_Curriculum csvs - Geometry&Trig.csv
d22eb48f-1340-4131-8688-001159601faf,Scale factor in enlargements,The ratio that describes how much a shape is enlarged or reduced in size during a transformation.,Enlargements,Geometry,4_Curriculum csvs - Geometry&Trig.csv
e565830b-f8cf-4804-b11f-daca6e296604,Area effect of enlargements,Understanding how the area of a shape changes when it is enlarged or reduced by a scale factor.,Enlargements,Geometry,4_Curriculum csvs - Geometry&Trig.csv
c7f75e69-1d00-477e-968b-a6464289cecf,Proof by contradiction,A method of proving a statement by assuming the opposite is true and showing that this leads to a contradiction.,Logic and reasoning,Geometry,4_Curriculum csvs - Geometry&Trig.csv
b4320da0-3e81-4c55-a81f-adde8b4f4d6b,Definition of sine and cosine,The definitions of the sine and cosine functions in relation to the angles of a right triangle.,Trigonometric functions,Trigonometry,4_Curriculum csvs - Geometry&Trig.csv
7dbdfed4-8806-477b-b8c4-bc871287a441,Trigonometric equations,Equations that involve trigonometric functions and require solving for angle measures.,Trigonometric functions,Trigonometry,4_Curriculum csvs - Geometry&Trig.csv
7ff0b504-548e-42d4-a773-cb39566392e6,Graphing trigonometric functions,"The process of plotting the sine, cosine, and tangent functions on a coordinate plane.",Trigonometric functions,Trigonometry,4_Curriculum csvs - Geometry&Trig.csv
f5b0a6c7-c728-4217-8c73-c9daf4075194,Radian measure of angles,"A method of measuring angles based on the radius of a circle, where one radian is the angle subtended at the center of a circle by an arc equal to the radius.",Angle measurement,Trigonometry,4_Curriculum csvs - Geometry&Trig.csv
3027fa47-8042-4d98-ae14-8d384de57216,Use of trigonometry to calculate the area of a triangle,Concept referenced in relationship: Use of trigonometry to calculate the area of a triangle,Unknown,Unknown,4_Curriculum csvs - Geometry&Trig.csv
b28199b2-4967-466a-88c1-6931f42f1e9e,Irrational numbers,"Numbers that cannot be expressed as a fraction of two integers, having non-repeating, non-terminating decimal expansions.",Real numbers,Number,91_Texts and tests 5 Index.pdf
899acdd2-1fed-461c-9f75-1f2ddd1b12f7,Complex numbers,"Numbers composed of a real part and an imaginary part, typically expressed in the form a + bi.",Numbers,Number,91_Texts and tests 5 Index.pdf
2714fb2d-0046-49b8-96b7-66b21ce0bea8,Division of complex numbers,"The process of dividing one complex number by another, often involving conjugation and multiplication to rationalize the denominator.",Operations with complex numbers,Number,91_Texts and tests 5 Index.pdf
165c6f24-da17-4eaf-96fc-1499728447d0,Equality of complex numbers,Two complex numbers are equal if their real parts are equal and their imaginary parts are equal.,Complex numbers,Number,91_Texts and tests 5 Index.pdf
6234e42e-7e5c-4c27-b14b-c249d451a8d5,Argand diagram,"A graphical representation of complex numbers on a plane, using the horizontal axis for the real part and the vertical axis for the imaginary part.",Complex numbers,Geometry,91_Texts and tests 5 Index.pdf
5c4db88a-bbe3-4a9c-803d-5ee8192e15cc,Modulus of a complex number,"The distance of a complex number from the origin in an Argand diagram, calculated as the square root of the sum of the squares of its real and imaginary parts.",Complex numbers,Number,91_Texts and tests 5 Index.pdf
9b20525c-bf86-4e4f-ab7a-e0b80d932db1,Transformations of complex numbers,"Operations that alter the position or form of a complex number in the complex plane, such as rotation or dilation.",Complex numbers,Geometry,91_Texts and tests 5 Index.pdf
4d284005-3eda-473f-a48c-9dcd023a97ac,Conjugate roots theorem,"A theorem stating that if a complex number is a root of a polynomial equation with real coefficients, then its conjugate is also a root.",Polynomials,Algebra,91_Texts and tests 5 Index.pdf
11a4fdb7-85f6-494f-b04c-5743b8fc874e,Polar form of a complex number,"A representation of a complex number in terms of its modulus and argument, rather than its real and imaginary components.",Complex numbers,Number,91_Texts and tests 5 Index.pdf
0cc13b9c-f1ef-4497-a5f5-16085377a268,Products of complex numbers in polar form,"The multiplication of two complex numbers when both are in polar form, involving the multiplication of their moduli and the addition of their arguments.",Operations with complex numbers,Number,91_Texts and tests 5 Index.pdf
b0f2b8d6-861d-4221-a493-ce9513ea42e2,Quotients of complex numbers in polar form,"The division of one complex number by another when both are in polar form, involving the division of their moduli and the subtraction of their arguments.",Operations with complex numbers,Number,91_Texts and tests 5 Index.pdf
78ff752e-5395-40cc-be09-1d5c875fa513,De Moivre’s theorem,A theorem stating that the nth power of a complex number in polar form can be found by raising its modulus to the nth power and multiplying its argument by n.,Complex numbers,Number,91_Texts and tests 5 Index.pdf
1733d676-b524-4e4c-9e1c-a187f6d2e582,Applications of de Moivre’s theorem,"The use of de Moivre’s theorem in solving complex number problems, such as finding roots of complex numbers.",Complex numbers,Number,91_Texts and tests 5 Index.pdf
79b7c3e6-cc38-4ea1-b6f1-07fc462204aa,Addition of Rational Numbers,"Performing addition operations with fractions, decimals, and percentages as different representations of rational numbers.",Operations with Rational Numbers,Number,1_Curriculum csvs - Number.csv
88a368d2-af75-486e-bb01-b641fc1e0c41,Subtraction of Rational Numbers,"Performing subtraction operations with fractions, decimals, and percentages as different representations of rational numbers.",Operations with Rational Numbers,Number,1_Curriculum csvs - Number.csv
685c255b-eaf7-48a4-8d49-e9e553ac36b3,Multiplication of Rational Numbers,"Performing multiplication operations with fractions, decimals, and percentages as different representations of rational numbers.",Operations with Rational Numbers,Number,1_Curriculum csvs - Number.csv
50a1541c-9af2-44c0-8b71-82729d83a0d8,Division of Rational Numbers,"Performing division operations with fractions, decimals, and percentages as different representations of rational numbers.",Operations with Rational Numbers,Number,1_Curriculum csvs - Number.csv
ba7600e1-8208-45ad-9a4b-8ff8de87ba1a,Negative Numbers in Arithmetic,"Understanding and applying rules for addition, subtraction, multiplication, and division involving negative numbers in real-life contexts.",Operations with Integers,Number,1_Curriculum csvs - Number.csv
91e3ccda-5893-4216-9486-8596402fa692,Fractional Amount Problems,Solving problems involving fractional amounts using models like diagrams and real-life contexts.,Fraction Operations,Number,1_Curriculum csvs - Number.csv
45183ac9-404f-419a-9ae6-1b11379d4359,Decomposition in Arithmetic,"Using models like decomposition to understand addition, subtraction, multiplication, and division operations with whole numbers.",Arithmetic Models,Number,1_Curriculum csvs - Number.csv
dbaa5e3e-c847-4fcc-92aa-5f602c08af59,"Commutative, Associative, and Distributive Laws","Investigating and applying properties of arithmetic operations such as commutative, associative, and distributive laws.",Properties of Arithmetic,Number,1_Curriculum csvs - Number.csv
d93f21dd-0239-426a-859a-08b397cb1462,Order of Operations with Brackets,"Understanding and applying the correct order of operations, including the use of brackets, in arithmetic expressions.",Mathematical Operations,Number,1_Curriculum csvs - Number.csv
9102a3f3-d53a-47ca-b9ae-27778e6b6432,Geometric Construction of Irrational Numbers,Constructing geometric representations of irrational numbers like √2 and √3.,Irrational Numbers,Number,1_Curriculum csvs - Number.csv
33833c6e-274d-41de-bb94-cccbecd2032d,Complex Numbers in Rectangular Form,Working with complex numbers in the form a+ib and illustrating them on an Argand diagram.,Complex Numbers,Number,1_Curriculum csvs - Number.csv
1db510a3-f7bd-40b8-b939-d2d9cf608960,Logarithm Rules,"Applying rules of logarithms in problem-solving involving multiplication, division, and exponentiation.",Logarithmic Functions,Number,1_Curriculum csvs - Number.csv
cc2a2feb-64df-45bc-b3ab-83c420213d0e,Percentage Calculations,"Calculating percentages and using the equivalence of fractions, decimals, and percentages for comparisons.",Percentage Operations,Number,1_Curriculum csvs - Number.csv
0a5aa830-0d53-406f-8b79-73eaeb90287e,Indices Rules,"Applying rules for indices in mathematical operations involving addition, subtraction, multiplication, and division.",Indices and Exponents,Number,1_Curriculum csvs - Number.csv
b14d447c-559c-4562-89f2-cdddd37dd52a,Arithmetic Sequences and Series,"Investigating arithmetic sequences, finding sums of arithmetic series, and proving related identities and inequalities.",Sequences and Series,Number,1_Curriculum csvs - Number.csv
11e6386f-47a7-45dd-af2e-e14c4a75c9d4,Error Accumulation and Estimation,"Checking results for accuracy, making estimates, calculating percentage error, and justifying approximations in calculations.",Error Analysis,Number,1_Curriculum csvs - Number.csv
80d20dce-1c80-4f18-b973-0321b9563fcd,Real-World Problem Solving with Arithmetic,"Applying arithmetic skills to solve everyday problems related to finance, measurement, and time.",Applied Arithmetic,Number,1_Curriculum csvs - Number.csv
dca711f1-d372-4812-9f07-575795d740c5,2D and 3D Geometry Analysis,"Analyzing 2D shapes, 3D solids, and their nets to solve problems involving perimeter, surface area, and volume.",Geometry Analysis,Geometry,1_Curriculum csvs - Number.csv
0e74501b-ed78-4b40-9316-aedf828704b7,"Operations of addition, multiplication, subtraction and division in the following domains: N of natural numbers, Z of integers, Q of rational numbers, R of real numbers","Concept referenced in relationship: Operations of addition, multiplication, subtraction and division in the following domains: N of natural numbers, Z of integers, Q of rational numbers, R of real numbers",Unknown,Unknown,1_Curriculum csvs - Number.csv
47b6666d-dd3a-4371-a75e-83b4b7f0fd72,Use of ratio and proportion,Concept referenced in relationship: Use of ratio and proportion,Unknown,Unknown,1_Curriculum csvs - Number.csv
def87dcc-4d07-46bb-89ed-d414d9348717,Natural numbers,"Counting numbers starting from 1, used for counting objects.",Number systems,Number,92_Texts and tests 5 Content Manual Redact_Exercises_Examples copy_extracted.txt
4a7f6aa2-0a5f-4ff3-b15a-298ef21f3c24,Integers,"Whole numbers that can be positive, negative, or zero.",Number systems,Number,92_Texts and tests 5 Content Manual Redact_Exercises_Examples copy_extracted.txt
18f6f9ec-a29c-4eda-9fbc-605188b5816b,Rational numbers,"Numbers that can be expressed as a fraction of two integers, where the denominator is not zero.",Number systems,Number,92_Texts and tests 5 Content Manual Redact_Exercises_Examples copy_extracted.txt
fdc02adf-fd2a-4837-a0ea-a39dc666e669,Real numbers,The set of all rational and irrational numbers.,Number systems,Number,92_Texts and tests 5 Content Manual Redact_Exercises_Examples copy_extracted.txt
e5d56a83-3090-484a-8342-205c710ac47d,Imaginary numbers,"Numbers that can be written in the form of a real number multiplied by the imaginary unit i, where i is the square root of -1.",Number systems,Algebra,92_Texts and tests 5 Content Manual Redact_Exercises_Examples copy_extracted.txt
87f730d9-5e9f-42a8-a709-151cc659d7ef,Adding complex numbers,The process of adding the real parts and the imaginary parts of two complex numbers separately.,Operations with complex numbers,Algebra,92_Texts and tests 5 Content Manual Redact_Exercises_Examples copy_extracted.txt
3aacb7d9-1efc-4a36-a1c1-1a6ab6b09f44,Multiplying complex numbers,The process of multiplying two complex numbers using the distributive property and the fact that i^2 = -1.,Operations with complex numbers,Algebra,92_Texts and tests 5 Content Manual Redact_Exercises_Examples copy_extracted.txt
21e9b8ae-474e-4477-beee-d367be2021ca,Complex conjugate,"Given a complex number, its complex conjugate is formed by changing the sign of its imaginary part.",Complex numbers,Algebra,92_Texts and tests 5 Content Manual Redact_Exercises_Examples copy_extracted.txt
35f0bdc0-0b82-41f8-8674-ec823834f9c9,De Moivre's theorem,"A formula that connects complex numbers and trigonometry, stating that (cos θ + i sin θ)^n = cos(nθ) + i sin(nθ) for any integer n.",Trigonometry,Algebra,92_Texts and tests 5 Content Manual Redact_Exercises_Examples copy_extracted.txt
1bbcfd77-e1d0-4ddd-9186-84e7c33ca17b,Double angle formula for cosine,An identity that expresses cosine of double an angle as the difference of the squares of sine and cosine of that angle.,Angle identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
86d37f78-c4c6-4c60-b8e6-9018783795c2,Double angle formula for sine,An identity that expresses sine of double an angle as twice the product of sine and cosine of that angle.,Angle identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
004d0eee-d62c-477a-aa89-5c2e87e35a77,Double angle formula for tangent,An identity that expresses tangent of double an angle in terms of the tangent of that angle.,Angle identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
e8e44513-58e6-40ba-9bda-e51c329e6c32,Cosine of double angle in terms of cosine,An identity expressing cosine of double an angle as a function of the cosine of that angle.,Angle identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
9757967c-120b-4919-9cad-88ca492be9c4,Sine of double angle in terms of cosine,An identity expressing sine of double an angle as a function of the cosine of that angle.,Angle identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
3fa0e3a8-ef04-4bff-b429-d5f2d2839013,Sum-to-product identities for cosine,Formulas that express the sum or difference of two cosines as a product of sines and cosines.,Sum-to-product identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
d8ae6462-b382-4594-b9af-6898dbbb3b0e,Sum-to-product identities for sine,Formulas that express the sum or difference of two sines as a product of sines and cosines.,Sum-to-product identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
009fd55c-5bc8-4344-add5-7f231365a4a8,Geometric construction with straight edge,"The process of creating geometric figures using only a straight edge, without the aid of measurements.",Geometric constructions,Geometry,4_Curriculum csvs - Geometry&Trig.csv
1c65ff16-2062-4e1c-9163-5c405e1561ec,Geometric construction with compass,The technique of drawing arcs and circles with a compass to create geometric figures.,Geometric constructions,Geometry,4_Curriculum csvs - Geometry&Trig.csv
0f215ecf-3bea-48a1-a4f9-392cfce88907,Geometric construction with protractor,Using a protractor to measure and draw angles accurately in geometric constructions.,Geometric constructions,Geometry,4_Curriculum csvs - Geometry&Trig.csv
d1086634-af50-4e74-95af-1d77df3c5cc0,Geometric construction with ruler,The use of a ruler to measure lengths and create straight lines in geometric constructions.,Geometric constructions,Geometry,4_Curriculum csvs - Geometry&Trig.csv
c030ac0e-6524-4e2f-a236-347df82e948e,Geometric construction with set square,The application of a set square to create right angles and parallel lines in geometric constructions.,Geometric constructions,Geometry,4_Curriculum csvs - Geometry&Trig.csv
cfe89207-6ffa-4e18-ae07-63aa07d93509,Circle construction with given radius,The method of drawing a circle with a specified radius using a compass.,Geometric constructions,Geometry,4_Curriculum csvs - Geometry&Trig.csv
f6cfd530-82b2-4be2-b7c5-68bc05fc222c,Linear relationships in coordinate geometry,The study of relationships between variables that can be represented as straight lines on a graph.,Coordinate geometry,Geometry,4_Curriculum csvs - Geometry&Trig.csv
acce3e24-3892-4ef1-bee0-98a3400f9d5c,Slope of a line,"The measure of the steepness or incline of a line, calculated as the ratio of the vertical change to the horizontal change between two points on the line.",Linear relationships,Coordinate geometry,4_Curriculum csvs - Geometry&Trig.csv
74548dff-a566-4b1a-9ee2-a40236988625,Rate of change in linear relationships,"The constant rate at which one variable changes with respect to another in a linear relationship, represented by the slope.",Linear relationships,Coordinate geometry,4_Curriculum csvs - Geometry&Trig.csv
e8aa823c-8e4d-4503-b411-ff03811e627d,Intersection of linear relationships,"The point at which two linear equations intersect, representing a solution to the system of equations.",Linear relationships,Coordinate geometry,4_Curriculum csvs - Geometry&Trig.csv
c12ad5f6-fce5-4f5b-972b-54673ebdb60c,Pythagorean theorem application,Using the Pythagorean theorem to find the lengths of sides in right-angled triangles based on the relationship a² + b² = c².,Right-angled triangles,Trigonometry,4_Curriculum csvs - Geometry&Trig.csv
aaebe136-8601-4587-9619-efa2c48be5d8,Trigonometric ratios,"The ratios of the lengths of the sides of a right triangle, specifically sine, cosine, and tangent, used to relate angles to side lengths.",Right-angled triangles,Trigonometry,4_Curriculum csvs - Geometry&Trig.csv
12e638b4-f43e-4f20-becd-d397a9d793e4,Area of a triangle using trigonometry,Calculating the area of a triangle using the formula A = 1/2 * base * height or using trigonometric ratios.,Triangle properties,Trigonometry,4_Curriculum csvs - Geometry&Trig.csv
b8320671-89ee-4074-a9cd-e3935aaeabbb,Sine rule for triangle side lengths,"A formula that relates the lengths of the sides of a triangle to the sines of its opposite angles, used for solving non-right triangles.",Triangle properties,Trigonometry,4_Curriculum csvs - Geometry&Trig.csv
a819ada4-3d60-4c52-b676-ed8b6a4d9e77,Enlargement in transformation geometry,"A transformation that increases or decreases the size of a shape while maintaining its proportions, defined by a scale factor.",Transformations,Geometry,4_Curriculum csvs - Geometry&Trig.csv
78420a03-268c-4cd9-a4a7-2c36d094906a,Centre of enlargement,The fixed point in a plane about which a shape is enlarged or reduced during a transformation.,Transformations,Geometry,4_Curriculum csvs - Geometry&Trig.csv
a4448939-14a0-407b-84c0-860c4367f730,Symmetry in transformations,"The property of a shape that remains unchanged under certain transformations, such as translation, rotation, or reflection.",Transformations,Geometry,4_Curriculum csvs - Geometry&Trig.csv
e888ea44-65b5-4154-a1d9-1c01d351b2d2,Use of ruler in geometric diagrams,Concept referenced in relationship: Use of ruler in geometric diagrams,Unknown,Unknown,4_Curriculum csvs - Geometry&Trig.csv
d336db2d-8927-4ac9-9387-1be30a52d9b0,Use of set square in geometric diagrams,Concept referenced in relationship: Use of set square in geometric diagrams,Unknown,Unknown,4_Curriculum csvs - Geometry&Trig.csv
de2a6b3f-e28b-418b-88c9-0918d3de230b,Use of theorems and proofs in synthetic geometry,Concept referenced in relationship: Use of theorems and proofs in synthetic geometry,Unknown,Unknown,4_Curriculum csvs - Geometry&Trig.csv
51161246-b010-4316-a5e9-581a9392b9c6,Enlargements,"A transformation that changes the size of a geometric figure, characterized by a scale factor relative to a point of enlargement.",Transformations,Geometry,91_Texts and tests 5 Index.pdf
36439ac4-3f11-4818-b953-1b2d552bbad4,Constructions,"The process of drawing geometric figures using only a compass and straightedge, based on given conditions.",Geometric methods,Geometry,91_Texts and tests 5 Index.pdf
1acf2055-6072-4495-be92-0ec04dba7d62,Antidifferentiation,"The reverse process of differentiation, finding a function whose derivative is the given function.",Calculus,Calculus,91_Texts and tests 5 Index.pdf
25ea139e-03b7-4c8e-9236-b7f94b9070ef,Integrating exponential functions,"The process of finding the integral of functions involving the exponential function, typically involving a base of e.",Integration,Calculus,91_Texts and tests 5 Index.pdf
20a02030-5c05-4b44-b22b-6d7e0fdaa024,Integrating trigonometric functions,"The process of finding the integral of trigonometric functions, such as sine, cosine, and tangent.",Integration,Calculus,91_Texts and tests 5 Index.pdf
66b4380e-26ce-4974-bd56-51fd235f7076,Applications of integration,"Using integration to solve real-world problems, such as calculating areas under curves and volumes of solids of revolution.",Calculus,Calculus,91_Texts and tests 5 Index.pdf
4576a7c2-02ae-4314-b8bb-16ea85f3e887,Definite integrals,"The calculation of the integral of a function with specified upper and lower limits, representing the area under the curve between these two points.",Integration,Calculus,91_Texts and tests 5 Index.pdf
564bc07a-c415-461c-9513-b5b2c5b7c29e,Finding areas by integration,Determining the area under a curve or between curves by evaluating the definite integral of a function over a specified interval.,Integration,Calculus,91_Texts and tests 5 Index.pdf
6cf3b796-6862-4502-ac6f-ec04a5c5c56c,Average value of a function,"The average value of a continuous function over a given interval, calculated as the integral of the function over the interval divided by the length of the interval.",Integration,Calculus,91_Texts and tests 5 Index.pdf
e6c8cdac-601d-46a7-a604-23027582217b,Integrating exponential and trigonometric functions,Concept referenced in relationship: Integrating exponential and trigonometric functions,Unknown,Unknown,91_Texts and tests 5 Index.pdf
b2f8c8f3-d841-4d56-be0a-fa52f03a0c3e,Addition of Natural Numbers,The process of combining natural numbers to find the total sum.,Addition,Number,1_Curriculum csvs - Number.csv
4e45ae38-c9af-462d-b158-51732e9b902d,Addition of Integers,The process of adding positive and negative whole numbers together.,Addition,Number,1_Curriculum csvs - Number.csv
4de52188-5dce-4564-8711-b0f2dbd2dc3f,Subtraction of Natural Numbers,The process of finding the difference between two natural numbers.,Subtraction,Number,1_Curriculum csvs - Number.csv
0ac43d0e-b64f-4a6a-a979-9ad0802a24ac,Subtraction of Integers,The process of subtracting positive and negative whole numbers.,Subtraction,Number,1_Curriculum csvs - Number.csv
f68dc507-8abe-4065-a7a8-224195e62379,Multiplication of Natural Numbers,The process of repeated addition to find the total product.,Multiplication,Number,1_Curriculum csvs - Number.csv
0db26521-ad98-4b43-b642-c2160d8cddf6,Multiplication of Integers,The process of multiplying positive and negative whole numbers.,Multiplication,Number,1_Curriculum csvs - Number.csv
